guide	gene	DMSO_D12	DMSO_D6	D0_D0	Resveratrol_D12
chr3:9781592-9781611_BRPF1_+	BRPF1	238	526	730	150
chr3:9782525-9782544_BRPF1_+	BRPF1	111	1086	871	374
chr3:9783026-9783045_BRPF1_+	BRPF1	1391	1691	505	1659
chr6:36168493-36168512_BRPF3_-	BRPF3	1990	2269	1384	1997
chr6:36172549-36172568_BRPF3_-	BRPF3	701	1380	909	2099
chr6:36177671-36177690_BRPF3_+	BRPF3	1544	1340	1359	1007
chr6:36178154-36178173_BRPF3_-	BRPF3	322	519	562	431
chrX:135574201-135574220_BRS3_-	BRS3	3024	1434	1226	1678
chrX:135574315-135574334_BRS3_-	BRS3	1059	597	495	856
chrX:135574317-135574336_BRS3_-	BRS3	743	1113	791	1987
chrX:135574428-135574447_BRS3_-	BRS3	771	1085	718	2187
chr19:55795801-55795820_BRSK1_+	BRSK1	1643	1649	1103	976
chr19:55800944-55800963_BRSK1_-	BRSK1	1251	1315	1189	1294
chr19:55805717-55805736_BRSK1_-	BRSK1	1341	1501	997	1107
chr19:55812893-55812912_BRSK1_-	BRSK1	866	1253	1049	2034
chr11:1411507-1411526_BRSK2_+	BRSK2	1912	1871	1351	1397
chr11:1462025-1462044_BRSK2_+	BRSK2	830	921	795	948
chr11:1464567-1464586_BRSK2_+	BRSK2	1698	1217	507	658
chr11:1466613-1466632_BRSK2_-	BRSK2	1224	1094	867	2823
chr21:40668211-40668230_BRWD1_+	BRWD1	3359	1752	502	524
chr21:40649240-40649259_BRWD1_+	BRWD1	682	1166	964	768
chr21:40646368-40646387_BRWD1_-	BRWD1	966	1047	616	767
chr21:40642343-40642362_BRWD1_-	BRWD1	331	621	850	497
chrX:80064939-80064958_BRWD3_-	BRWD3	2436	2397	1728	783
chrX:80049134-80049153_BRWD3_-	BRWD3	1745	1392	1272	1513
chrX:79999555-79999574_BRWD3_+	BRWD3	685	806	761	381
chrX:79985434-79985453_BRWD3_-	BRWD3	954	805	445	944
chr11:62474583-62474602_BSCL2_-	BSCL2	761	911	1087	829
chr11:62473012-62473031_BSCL2_-	BSCL2	338	1166	760	728
chr11:62459858-62459877_BSCL2_+	BSCL2	1244	1317	767	2126
chr11:62458553-62458572_BSCL2_+	BSCL2	956	1088	905	192
chr1:32852448-32852467_BSDC1_-	BSDC1	486	503	274	233
chr1:32849444-32849463_BSDC1_+	BSDC1	233	189	102	377
chr1:32844416-32844435_BSDC1_+	BSDC1	710	945	1087	648
chr1:32843638-32843657_BSDC1_-	BSDC1	1797	1334	2063	1680
chr19:578078-578097_BSG_+	BSG	1037	981	958	432
chr19:579531-579550_BSG_-	BSG	499	909	1102	852
chr19:580440-580459_BSG_+	BSG	1033	1097	810	1048
chr19:580672-580691_BSG_+	BSG	437	732	446	1068
chr1:55464921-55464940_BSND_-	BSND	359	710	1231	116
chr1:55464953-55464972_BSND_-	BSND	1235	1589	1258	770
chr1:55472850-55472869_BSND_-	BSND	1239	1763	1435	1518
chr1:55474209-55474228_BSND_+	BSND	2138	1925	1695	2102
chr3:49592128-49592147_BSN_-	BSN	827	886	673	485
chr3:49662698-49662717_BSN_-	BSN	988	908	1023	2215
chr3:49680426-49680445_BSN_+	BSN	337	563	1318	389
chr3:49688184-49688203_BSN_+	BSN	1117	1082	900	881
chr19:48495318-48495337_BSPH1_+	BSPH1	302	622	827	319
chr19:48480685-48480704_BSPH1_-	BSPH1	1236	866	552	503
chr19:48480699-48480718_BSPH1_-	BSPH1	1321	1450	852	3766
chr19:48480068-48480087_BSPH1_+	BSPH1	580	1183	646	1219
chr9:116111951-116111970_BSPRY_+	BSPRY	405	528	1013	1961
chr9:116116578-116116597_BSPRY_+	BSPRY	2228	2593	724	2209
chr9:116122921-116122940_BSPRY_+	BSPRY	19	173	170	0
chr9:116130533-116130552_BSPRY_+	BSPRY	1972	1144	436	2130
chr4:15704886-15704905_BST1_-	BST1	1546	1508	683	718
chr4:15706568-15706587_BST1_-	BST1	303	506	244	225
chr4:15707156-15707175_BST1_+	BST1	1230	1288	1118	151
chr4:15709205-15709224_BST1_-	BST1	1006	1089	608	648
chr19:17516159-17516178_BST2_-	BST2	2925	2034	1626	954
chr19:17516195-17516214_BST2_+	BST2	750	607	522	680
chr19:17516313-17516332_BST2_-	BST2	1127	2222	781	575
chr19:17514954-17514973_BST2_-	BST2	869	719	767	1900
chr11:122852101-122852120_BSX_+	BSX	497	835	820	530
chr11:122852335-122852354_BSX_-	BSX	63	59	75	89
chr11:122850079-122850098_BSX_+	BSX	2248	1803	1401	1715
chr11:122848423-122848442_BSX_+	BSX	63	173	290	491
chr10:93683835-93683854_BTAF1_-	BTAF1	320	657	677	1404
chr10:93711160-93711179_BTAF1_+	BTAF1	568	1167	535	272
chr10:93717043-93717062_BTAF1_-	BTAF1	217	495	478	775
chr10:93719849-93719868_BTAF1_+	BTAF1	462	378	467	212
chr11:13466646-13466665_BTBD10_-	BTBD10	974	1000	889	2109
chr11:13410470-13410489_BTBD10_+	BTBD10	233	417	455	321
chr11:13410587-13410606_BTBD10_-	BTBD10	776	1408	769	1799
chr11:13410623-13410642_BTBD10_+	BTBD10	1403	1073	988	1123
chr12:107713573-107713592_BTBD11_+	BTBD11	324	1010	1693	1181
chr12:107914307-107914326_BTBD11_+	BTBD11	1609	1657	995	1125
chr12:107937890-107937909_BTBD11_+	BTBD11	522	604	500	607
chr12:107974950-107974969_BTBD11_+	BTBD11	133	442	483	560
chr10:124036331-124036350_BTBD16_+	BTBD16	1262	1633	704	985
chr10:124043411-124043430_BTBD16_+	BTBD16	913	957	696	1153
chr10:124045689-124045708_BTBD16_-	BTBD16	2111	1955	1766	2519
chr10:124049457-124049476_BTBD16_-	BTBD16	1409	1247	785	1726
chr17:72357878-72357897_BTBD17_+	BTBD17	1017	1780	1397	1518
chr17:72357932-72357951_BTBD17_-	BTBD17	258	232	529	966
chr17:72356123-72356142_BTBD17_+	BTBD17	409	834	924	442
chr17:72353802-72353821_BTBD17_+	BTBD17	2563	1670	1221	1121
chr11:57518599-57518618_BTBD18_+	BTBD18	851	851	725	548
chr11:57518600-57518619_BTBD18_+	BTBD18	476	652	1118	396
chr11:57511642-57511661_BTBD18_+	BTBD18	489	612	508	323
chr11:57511643-57511662_BTBD18_+	BTBD18	621	713	764	1099
chr1:45276017-45276036_BTBD19_+	BTBD19	1514	1387	1738	963
chr1:45278715-45278734_BTBD19_+	BTBD19	1100	1046	433	765
chr1:45278730-45278749_BTBD19_-	BTBD19	2177	2243	1695	863
chr1:45279099-45279118_BTBD19_+	BTBD19	358	557	616	2201
chr15:83735768-83735787_BTBD1_+	BTBD1	1765	1234	1166	1266
chr15:83725212-83725231_BTBD1_-	BTBD1	807	764	708	1337
chr15:83698918-83698937_BTBD1_-	BTBD1	2561	1536	1336	1008
chr15:83687558-83687577_BTBD1_+	BTBD1	1230	1100	538	379
chr19:2015379-2015398_BTBD2_+	BTBD2	450	389	542	314
chr19:1997375-1997394_BTBD2_+	BTBD2	393	672	488	502
chr19:1993060-1993079_BTBD2_+	BTBD2	449	883	505	356
chr19:1990740-1990759_BTBD2_-	BTBD2	839	1428	1066	143
chr20:11899777-11899796_BTBD3_+	BTBD3	635	682	591	1794
chr20:11899792-11899811_BTBD3_-	BTBD3	1297	1331	1001	1414
chr20:11903862-11903881_BTBD3_-	BTBD3	2412	2187	1074	1747
chr20:11903864-11903883_BTBD3_-	BTBD3	1027	1059	433	2375
chr14:105715242-105715261_BTBD6_-	BTBD6	290	720	481	1391
chr14:105715524-105715543_BTBD6_+	BTBD6	186	323	149	14
chr14:105715750-105715769_BTBD6_-	BTBD6	2412	1843	1201	720
chr14:105716197-105716216_BTBD6_+	BTBD6	1056	1247	1266	1574
chr14:93761165-93761184_BTBD7_+	BTBD7	1634	1642	905	1959
chr14:93730188-93730207_BTBD7_+	BTBD7	1568	1199	1541	2511
chr14:93723686-93723705_BTBD7_-	BTBD7	433	1113	503	3493
chr14:93720087-93720106_BTBD7_+	BTBD7	712	897	491	175
chr1:92546245-92546264_BTBD8_+	BTBD8	101	441	474	296
chr1:92554290-92554309_BTBD8_-	BTBD8	491	426	673	905
chr1:92554393-92554412_BTBD8_+	BTBD8	1155	1291	1316	2632
chr1:92568168-92568187_BTBD8_+	BTBD8	444	311	400	92
chr6:38565747-38565766_BTBD9_-	BTBD9	1685	1491	1148	977
chr6:38561881-38561900_BTBD9_+	BTBD9	104	636	736	37
chr6:38560423-38560442_BTBD9_+	BTBD9	1050	970	574	1039
chr6:38548163-38548182_BTBD9_-	BTBD9	550	862	916	922
chr4:75719455-75719474_BTC_+	BTC	2044	2808	1882	1731
chr4:75695334-75695353_BTC_+	BTC	2197	1600	1237	624
chr4:75681053-75681072_BTC_+	BTC	295	370	374	74
chr4:75681094-75681113_BTC_-	BTC	1641	1865	719	2504
chr3:15676982-15677001_BTD_-	BTD	1109	1694	1432	1110
chr3:15677123-15677142_BTD_-	BTD	734	1096	920	3083
chr3:15683543-15683562_BTD_+	BTD	1010	1152	882	215
chr3:15686557-15686576_BTD_+	BTD	1292	1308	939	1056
chr1:52549163-52549182_BTF3L4_+	BTF3L4	3132	3253	2346	2169
chr1:52549192-52549211_BTF3L4_+	BTF3L4	176	328	238	267
chr1:52549206-52549225_BTF3L4_-	BTF3L4	2138	2305	1739	1434
chr1:52549207-52549226_BTF3L4_-	BTF3L4	1330	1649	1445	2345
chr5:72798884-72798903_BTF3_-	BTF3	1437	1258	6081	3510
chr5:72798925-72798944_BTF3_-	BTF3	1203	1317	1398	1285
chr12:92539243-92539262_BTG1_+	BTG1	1161	807	459	1393
chr12:92539293-92539312_BTG1_-	BTG1	662	1098	381	104
chr12:92537980-92537999_BTG1_-	BTG1	1632	1709	869	2023
chr12:92538117-92538136_BTG1_-	BTG1	941	1033	1006	472
chr1:203274778-203274797_BTG2_-	BTG2	267	715	682	736
chr1:203274833-203274852_BTG2_+	BTG2	1130	1012	505	582
chr1:203276271-203276290_BTG2_-	BTG2	694	1008	1204	2247
chr1:203276409-203276428_BTG2_-	BTG2	796	1299	869	990
chr21:18977221-18977240_BTG3_-	BTG3	758	1266	1558	794
chr21:18971057-18971076_BTG3_-	BTG3	345	502	640	57
chr21:18966529-18966548_BTG3_+	BTG3	39	442	512	400
chr21:18966607-18966626_BTG3_+	BTG3	1558	1384	1670	489
chr11:111369330-111369349_BTG4_+	BTG4	1746	1624	842	2230
chr11:111368766-111368785_BTG4_-	BTG4	982	1077	1207	1653
chr11:111367999-111368018_BTG4_+	BTG4	2031	2160	1641	1418
chr11:111365922-111365941_BTG4_+	BTG4	1542	1630	1097	1158
chrX:100630246-100630265_BTK_+	BTK	899	884	374	424
chrX:100629522-100629541_BTK_+	BTK	1218	1188	213	1854
chrX:100625008-100625027_BTK_-	BTK	658	399	466	185
chrX:100615627-100615646_BTK_-	BTK	1739	1130	1083	1388
chr3:112198543-112198562_BTLA_+	BTLA	2037	2045	1236	1822
chr3:112190058-112190077_BTLA_-	BTLA	119	456	286	473
chr3:112188620-112188639_BTLA_-	BTLA	96	360	506	649
chr3:112185116-112185135_BTLA_+	BTLA	1658	1663	975	1032
chr6:26501544-26501563_BTN1A1_-	BTN1A1	1422	1538	1421	3545
chr6:26502029-26502048_BTN1A1_+	BTN1A1	1455	1079	757	1578
chr6:26505310-26505329_BTN1A1_+	BTN1A1	1393	953	650	437
chr6:26506937-26506956_BTN1A1_-	BTN1A1	2633	2124	1609	1265
chr6:26463622-26463641_BTN2A1_-	BTN2A1	163	488	498	1943
chr6:26465427-26465446_BTN2A1_-	BTN2A1	2120	2042	567	898
chr6:26465440-26465459_BTN2A1_-	BTN2A1	333	669	493	443
chr6:26465453-26465472_BTN2A1_-	BTN2A1	343	528	382	462
chr6:26388355-26388374_BTN2A2_-	BTN2A2	740	595	367	1168
chr6:26388373-26388392_BTN2A2_-	BTN2A2	349	474	657	1074
chr6:26390298-26390317_BTN2A2_-	BTN2A2	1859	2247	1901	2668
chr6:26392656-26392675_BTN2A2_+	BTN2A2	319	1103	763	421
chr6:26407922-26407941_BTN3A1_+	BTN3A1	1657	1361	755	561
chr6:26409767-26409786_BTN3A1_+	BTN3A1	1536	1052	378	668
chr6:26409780-26409799_BTN3A1_+	BTN3A1	1911	2191	1536	1973
chr6:26413895-26413914_BTN3A1_-	BTN3A1	588	979	802	692
chr6:26370760-26370779_BTN3A2_-	BTN3A2	858	890	1050	2074
chr6:26373287-26373306_BTN3A2_+	BTN3A2	705	1206	937	785
chr6:26446026-26446045_BTN3A3_+	BTN3A3	704	1019	931	541
chr6:26446027-26446046_BTN3A3_+	BTN3A3	586	1142	1032	819
chr6:26451969-26451988_BTN3A3_+	BTN3A3	1276	1223	398	1572
chr6:26452341-26452360_BTN3A3_-	BTN3A3	632	1368	1410	281
chr5:180419814-180419833_BTNL3_+	BTNL3	425	489	284	908
chr5:180420024-180420043_BTNL3_+	BTNL3	1218	1775	1017	2039
chr5:180420026-180420045_BTNL3_+	BTNL3	1044	2089	782	2067
chr5:180429689-180429708_BTNL3_-	BTNL3	970	988	1485	1359
chr5:180326312-180326331_BTNL8_-	BTNL8	924	908	1096	542
chr5:180335797-180335816_BTNL8_+	BTNL8	230	463	296	1174
chr5:180338564-180338583_BTNL8_-	BTNL8	1381	1560	655	1885
chr5:180374553-180374572_BTNL8_+	BTNL8	624	1246	1166	1385
chr5:180475096-180475115_BTNL9_-	BTNL9	2493	2593	750	2628
chr5:180477183-180477202_BTNL9_+	BTNL9	874	1154	703	1217
chr5:180480221-180480240_BTNL9_-	BTNL9	164	671	842	361
chr5:180486294-180486313_BTNL9_+	BTNL9	422	414	443	1063
chr10:103113931-103113950_BTRC_+	BTRC	590	543	75	246
chr10:103190159-103190178_BTRC_-	BTRC	608	1317	1107	1306
chr10:103281481-103281500_BTRC_+	BTRC	711	544	1065	1958
chr10:103285931-103285950_BTRC_+	BTRC	347	470	353	707
chr15:40457248-40457267_BUB1B_+	BUB1B	2574	2373	2148	443
chr15:40462305-40462324_BUB1B_-	BUB1B	176	358	563	466
chr15:40462754-40462773_BUB1B_+	BUB1B	150	247	1325	410
chr15:40468728-40468747_BUB1B_-	BUB1B	86	426	742	212
chr2:111435530-111435549_BUB1_+	BUB1	996	1427	818	642
chr2:111425102-111425121_BUB1_-	BUB1	232	652	671	752
chr2:111423872-111423891_BUB1_-	BUB1	53	191	210	959
chr2:111419264-111419283_BUB1_+	BUB1	333	484	1019	196
chr10:124914454-124914473_BUB3_+	BUB3	446	594	1249	1110
chr10:124914534-124914553_BUB3_-	BUB3	53	284	1177	442
chr10:124917326-124917345_BUB3_+	BUB3	1	29	276	61
chr10:124921793-124921812_BUB3_+	BUB3	340	598	524	136
chr11:116643660-116643679_BUD13_+	BUD13	1614	1436	490	604
chr11:116633718-116633737_BUD13_+	BUD13	2008	1790	8396	1266
chr11:116633835-116633854_BUD13_+	BUD13	248	796	1032	1555
chr11:116633871-116633890_BUD13_+	BUD13	542	1203	1284	747
chr7:99008750-99008769_BUD31_-	BUD31	1663	1549	1516	1138
chr7:99013760-99013779_BUD31_+	BUD31	164	232	343	122
chr7:99013839-99013858_BUD31_-	BUD31	66	391	497	590
chr7:99013862-99013881_BUD31_+	BUD31	46	89	835	57
chr6:105581409-105581428_BVES_+	BVES	1415	1623	946	1322
chr6:105573283-105573302_BVES_+	BVES	1166	987	1310	2595
chr6:105572466-105572485_BVES_+	BVES	58	141	424	408
chr6:105563559-105563578_BVES_+	BVES	2819	2712	1954	2857
chr6:41889417-41889436_BYSL_+	BYSL	497	583	893	481
chr6:41895152-41895171_BYSL_+	BYSL	534	402	1001	133
chr6:41897978-41897997_BYSL_+	BYSL	558	914	774	171
chr6:41898373-41898392_BYSL_+	BYSL	463	740	588	156
chr17:56405068-56405087_BZRAP1_-	TSPOAP1	0	0	0	8
chr17:56403659-56403678_BZRAP1_-	TSPOAP1	197	342	72	101
chr17:56400697-56400716_BZRAP1_-	TSPOAP1	614	802	443	198
chr17:56400336-56400355_BZRAP1_-	TSPOAP1	355	686	1011	329
chr2:201677968-201677987_BZW1_-	BZW1	1014	969	629	1136
chr2:201680191-201680210_BZW1_-	BZW1	901	914	649	746
chr2:201683030-201683049_BZW1_+	BZW1	998	995	629	612
chr2:201683078-201683097_BZW1_+	BZW1	503	762	893	857
chr7:16714067-16714086_BZW2_+	BZW2	601	1184	1074	1589
chr7:16721013-16721032_BZW2_-	BZW2	308	446	556	883
chr7:16734554-16734573_BZW2_+	BZW2	500	1180	1147	917
chr7:16736665-16736684_BZW2_+	BZW2	1927	1345	440	104
chr10:73475781-73475800_C10orf105_-	C10orf105	736	1399	1716	4585
chr10:73475869-73475888_C10orf105_+	C10orf105	1381	1086	1544	988
chr10:73476026-73476045_C10orf105_+	C10orf105	681	786	573	172
chr10:73476028-73476047_C10orf105_+	C10orf105	373	420	209	33
chr10:63519865-63519884_C10orf107_-	CABCOCO1	2585	2318	1428	2390
chr10:63520618-63520637_C10orf107_+	CABCOCO1	1138	1130	1148	1093
chr10:63520626-63520645_C10orf107_+	CABCOCO1	1202	1568	923	1959
chr10:63520659-63520678_C10orf107_+	CABCOCO1	73	214	210	109
chr10:45472842-45472861_C10orf10_+	DEPP1	153	381	688	521
chr10:45472863-45472882_C10orf10_+	DEPP1	301	405	511	197
chr10:45472906-45472925_C10orf10_+	DEPP1	457	827	1068	1501
chr10:45472920-45472939_C10orf10_-	DEPP1	1207	904	609	643
chr10:15138403-15138422_C10orf111_+	RPP38-DT	611	872	648	1329
chr10:15138588-15138607_C10orf111_-	RPP38-DT	1376	1249	343	843
chr10:15138632-15138651_C10orf111_+	RPP38-DT	681	745	465	985
chr10:15138642-15138661_C10orf111_-	RPP38-DT	3141	2403	1310	490
chr10:21414833-21414852_C10orf113_-	NEBL	409	766	622	520
chr10:21414834-21414853_C10orf113_-	NEBL	636	865	1067	339
chr10:21414953-21414972_C10orf113_-	NEBL	89	397	534	858
chr10:21415016-21415035_C10orf113_-	NEBL	893	790	798	277
chr10:23512691-23512710_C10orf115_+	C10orf67	1860	1867	1230	2835
chr10:23512572-23512591_C10orf115_-	C10orf67	3180	2764	1957	3439
chr10:23493099-23493118_C10orf115_+	C10orf67	798	660	574	1661
chr10:23493101-23493120_C10orf115_+	C10orf67	380	879	1131	126
chr10:115922804-115922823_C10orf118_-	CCDC186	307	1134	1283	1773
chr10:115910871-115910890_C10orf118_-	CCDC186	492	746	388	286
chr10:115895953-115895972_C10orf118_-	CCDC186	821	677	425	1117
chr10:115890908-115890927_C10orf118_-	CCDC186	1333	1037	310	117
chr10:77795810-77795829_C10orf11_+	LRMDA	482	567	459	197
chr10:77818478-77818497_C10orf11_+	LRMDA	962	1089	1279	1508
chr10:77818520-77818539_C10orf11_+	LRMDA	1113	1101	1256	1374
chr10:78084222-78084241_C10orf11_+	LRMDA	1460	1141	772	330
chr10:124458879-124458898_C10orf120_+	C10orf120	255	640	297	139
chr10:124458898-124458917_C10orf120_-	C10orf120	1914	1509	1111	1511
chr10:124457308-124457327_C10orf120_-	C10orf120	1102	1464	1081	1473
chr10:124457569-124457588_C10orf120_-	C10orf120	148	486	445	511
chr10:29162199-29162218_C10orf126_+	C10orf126	336	368	548	179
chr10:29169084-29169103_C10orf126_+	C10orf126	1311	1784	1646	1578
chr10:29169134-29169153_C10orf126_-	C10orf126	473	676	602	2531
chr10:29169200-29169219_C10orf126_+	C10orf126	1117	885	591	2237
chr10:50375980-50375999_C10orf128_-	TMEM273	1154	884	318	308
chr10:50374972-50374991_C10orf128_-	TMEM273	464	594	1392	869
chr10:50373794-50373813_C10orf128_+	TMEM273	884	807	791	953
chr10:50373795-50373814_C10orf128_+	TMEM273	2028	2067	2120	1190
chr10:96954265-96954284_C10orf129_-	ACSM6	1053	631	412	529
chr10:96961770-96961789_C10orf129_-	ACSM6	433	645	592	208
chr10:96971707-96971726_C10orf129_-	ACSM6	259	427	379	299
chr10:96979708-96979727_C10orf129_-	ACSM6	1191	1160	694	968
chr10:98741495-98741514_C10orf12_-	LCOR	646	757	954	1367
chr10:98741924-98741943_C10orf12_+	LCOR	2192	1541	1029	1059
chr10:98743469-98743488_C10orf12_+	LCOR	556	532	1251	1092
chr10:98744851-98744870_C10orf12_+	LCOR	170	519	638	332
chr10:97684580-97684599_C10orf131_+	CC2D2B	4904	3309	1913	4186
chr10:97687050-97687069_C10orf131_+	CC2D2B	428	1216	677	804
chr10:97687068-97687087_C10orf131_+	CC2D2B	2349	1167	350	351
chr10:97697925-97697944_C10orf131_+	CC2D2B	1311	978	838	870
chr10:127408426-127408445_C10orf137_-	EDRF1	786	1332	686	3805
chr10:127409799-127409818_C10orf137_+	EDRF1	1403	1211	1294	794
chr10:127412425-127412444_C10orf137_+	EDRF1	923	939	1276	1440
chr10:127414318-127414337_C10orf137_+	EDRF1	895	540	318	35
chr10:45495821-45495840_C10orf25_+	ZNF22-AS1	74	92	302	925
chr10:45495826-45495845_C10orf25_+	ZNF22-AS1	888	1048	1003	2349
chr10:45495830-45495849_C10orf25_+	ZNF22-AS1	355	492	617	696
chr10:102748143-102748162_C10orf2_+	TWNK	63	556	557	667
chr10:102749519-102749538_C10orf2_+	TWNK	106	435	927	799
chr10:102750710-102750729_C10orf2_-	TWNK	436	1431	830	776
chr10:102753127-102753146_C10orf2_+	TWNK	707	963	844	193
chr10:104614057-104614076_C10orf32_+	BORCS7	220	724	836	1206
chr10:104614107-104614126_C10orf32_+	BORCS7	1302	1682	1141	412
chr10:104614123-104614142_C10orf32_-	BORCS7	708	1204	1093	839
chr10:104620088-104620107_C10orf32_-	BORCS7	94	197	264	110
chr10:71391500-71391519_C10orf35_+	FAM241B	1053	1034	1348	1110
chr10:71391548-71391567_C10orf35_-	FAM241B	942	946	587	2155
chr10:71392664-71392683_C10orf35_+	FAM241B	1406	1099	912	1250
chr10:71392770-71392789_C10orf35_-	FAM241B	299	561	805	347
chr10:61718056-61718075_C10orf40_-	LINC01553	2885	2404	1140	1485
chr10:61718245-61718264_C10orf40_-	LINC01553	1310	1549	880	1272
chr10:61718248-61718267_C10orf40_-	LINC01553	3163	2520	1544	1083
chr10:61718348-61718367_C10orf40_-	LINC01553	1160	1363	1050	494
chr10:50887740-50887759_C10orf53_+	C10orf53	218	332	298	84
chr10:50887756-50887775_C10orf53_+	C10orf53	3085	2542	1251	2353
chr10:50901857-50901876_C10orf53_+	C10orf53	1819	1403	799	493
chr10:50901860-50901879_C10orf53_+	C10orf53	855	644	905	484
chr10:73521489-73521508_C10orf54_-	VSIR	1781	1341	683	255
chr10:73520637-73520656_C10orf54_-	VSIR	654	509	571	718
chr10:73515186-73515205_C10orf54_+	VSIR	1185	1406	827	823
chr10:73511408-73511427_C10orf54_+	VSIR	669	705	702	257
chr10:75671501-75671520_C10orf55_+	C10orf55	497	847	787	994
chr10:75671517-75671536_C10orf55_+	C10orf55	619	472	672	844
chr10:75671518-75671537_C10orf55_+	C10orf55	1296	1767	1005	653
chr10:75671768-75671787_C10orf55_-	C10orf55	1444	1127	615	440
chr10:99349641-99349660_C10orf62_+	C10orf62	1461	1052	445	631
chr10:99349849-99349868_C10orf62_+	C10orf62	246	668	787	432
chr10:99349869-99349888_C10orf62_-	C10orf62	127	226	440	1381
chr10:99350045-99350064_C10orf62_+	C10orf62	671	761	1944	298
chr10:23633482-23633501_C10orf67_+	C10orf67	3534	2170	1144	1851
chr10:23633501-23633520_C10orf67_+	C10orf67	254	288	543	25
chr10:23611451-23611470_C10orf67_-	C10orf67	3973	2661	2122	2438
chr10:23609683-23609702_C10orf67_-	C10orf67	1114	1356	1035	814
chr10:33018294-33018313_C10orf68_+	CCDC7	2153	2082	1482	3392
chr10:33134866-33134885_C10orf68_+	CCDC7	742	852	1106	971
chr10:33135366-33135385_C10orf68_+	CCDC7	26	173	292	145
chr10:33136778-33136797_C10orf68_-	CCDC7	553	918	689	927
chr10:50532513-50532532_C10orf71_-	C10orf71	397	548	452	476
chr10:50533940-50533959_C10orf71_-	C10orf71	584	941	751	1377
chr10:50534117-50534136_C10orf71_+	C10orf71	709	547	768	198
chr10:50534205-50534224_C10orf71_+	C10orf71	63	146	130	7
chr10:103799849-103799868_C10orf76_-	ARMH3	508	763	1230	604
chr10:103789434-103789453_C10orf76_+	ARMH3	359	414	241	619
chr10:103766340-103766359_C10orf76_+	ARMH3	1886	1910	837	928
chr10:103761730-103761749_C10orf76_-	ARMH3	2287	1321	236	640
chr10:118425179-118425198_C10orf82_-	C10orf82	161	329	350	1044
chr10:118425215-118425234_C10orf82_-	C10orf82	109	187	391	41
chr10:118425234-118425253_C10orf82_-	C10orf82	659	811	354	1007
chr10:118425299-118425318_C10orf82_-	C10orf82	1112	1812	1405	2201
chr10:122357894-122357913_C10orf85_+	LINC01561	382	347	770	1568
chr10:122357895-122357914_C10orf85_+	LINC01561	520	951	411	947
chr10:122357947-122357966_C10orf85_+	LINC01561	657	616	479	1619
chr10:122358168-122358187_C10orf85_-	LINC01561	1188	1842	945	2477
chr10:124712400-124712419_C10orf88_-	C10orf88	728	638	728	88
chr10:124708168-124708187_C10orf88_-	C10orf88	1872	2309	1387	1370
chr10:124691982-124692001_C10orf88_+	C10orf88	839	870	874	1155
chr10:124691987-124692006_C10orf88_+	C10orf88	2133	1953	928	1220
chr10:128192991-128193010_C10orf90_+	C10orf90	1163	1427	1379	440
chr10:128193014-128193033_C10orf90_+	C10orf90	1007	1309	1197	714
chr10:128193128-128193147_C10orf90_-	C10orf90	1241	1401	982	1608
chr10:128147706-128147725_C10orf90_-	C10orf90	1048	1152	1408	1135
chr10:134258751-134258770_C10orf91_+	LINC02870	917	970	449	336
chr10:134259232-134259251_C10orf91_-	LINC02870	3172	2714	1634	1071
chr10:134259251-134259270_C10orf91_+	LINC02870	1542	1976	927	4546
chr10:134261460-134261479_C10orf91_+	LINC02870	329	540	455	741
chr10:104210597-104210616_C10orf95_+	C10orf95	2193	1780	931	1945
chr10:104210666-104210685_C10orf95_+	C10orf95	1201	890	640	464
chr10:104210667-104210686_C10orf95_+	C10orf95	680	719	1056	927
chr10:104210668-104210687_C10orf95_+	C10orf95	372	570	452	439
chr10:85933609-85933628_C10orf99_-	C10orf99	514	802	734	1026
chr10:85933630-85933649_C10orf99_-	C10orf99	333	838	377	701
chr10:85936234-85936253_C10orf99_+	C10orf99	696	1585	1035	2155
chr10:85944514-85944533_C10orf99_-	C10orf99	1505	1483	1091	1872
chr11:8953807-8953826_C11orf16_-	C11orf16	1864	900	605	1737
chr11:8950926-8950945_C11orf16_-	C11orf16	1939	2260	2481	1722
chr11:8948628-8948647_C11orf16_-	C11orf16	1317	1489	1019	838
chr11:8947523-8947542_C11orf16_-	C11orf16	703	1108	836	446
chr11:111753103-111753122_C11orf1_-	C11orf1	1157	1143	676	269
chr11:111753110-111753129_C11orf1_+	C11orf1	1139	775	540	1229
chr11:111753157-111753176_C11orf1_-	C11orf1	923	764	1138	809
chr11:111753267-111753286_C11orf1_+	C11orf1	39	347	410	140
chr11:2321753-2321772_C11orf21_+	C11orf21	114	333	566	123
chr11:2320713-2320732_C11orf21_-	C11orf21	1726	1149	936	1321
chr11:2320719-2320738_C11orf21_+	C11orf21	510	873	1288	1306
chr11:2320888-2320907_C11orf21_-	C11orf21	566	1007	1251	383
chr11:68029989-68030008_C11orf24_+	C11orf24	802	699	359	628
chr11:68030073-68030092_C11orf24_+	C11orf24	2424	1770	673	1832
chr11:68030109-68030128_C11orf24_+	C11orf24	391	338	347	1434
chr11:68030117-68030136_C11orf24_-	C11orf24	1164	1382	1031	2367
chr11:76164376-76164395_C11orf30_-	EMSY	828	858	1216	778
chr11:76169235-76169254_C11orf30_+	EMSY	710	844	719	652
